run,time,backR,backC,backL,frontRR,frontR,frontC,frontL,frontLL
4,30,6,6,73,52,91,5,57,5
4,31,6,6,74,52,93,5,57,5
5,0,6,6,52,52,5,5,57,5
5,1,6,6,52,52,5,5,57,5
5,2,6,6,52,52,5,5,57,5
5,3,6,6,52,52,5,5,57,5
5,4,6,6,52,52,5,5,57,5
5,5,6,6,52,52,5,5,57,5
5,6,6,6,52,52,5,5,57,5
5,7,6,6,52,52,5,5,57,5
5,8,6,6,52,52,5,5,57,5
5,9,6,6,52,52,5,5,57,5
5,10,6,6,52,52,5,5,57,5
5,11,6,6,52,52,5,5,57,5
5,12,6,6,52,52,5,5,57,5
5,13,6,6,52,52,5,5,57,5
5,14,6,6,52,52,5,5,57,5
5,15,6,6,52,52,5,5,57,5
5,16,6,6,52,52,5,5,57,5
5,17,6,6,52,52,5,5,57,5
5,18,6,6,52,52,5,5,57,5
5,19,6,6,52,52,5,5,57,5
5,20,6,6,52,52,10,5,57,5
5,21,6,6,52,52,12,5,57,5
5,22,6,6,53,52,13,5,57,5
5,23,6,6,53,52,18,5,57,5
5,24,6,6,53,52,20,5,57,5
5,25,6,6,54,52,23,5,57,5
5,26,6,6,55,52,28,5,57,5
5,27,6,6,55,52,36,5,57,5
5,28,6,6,59,52,46,5,57,5
5,29,6,6,63,52,62,5,57,5
5,30,6,6,73,52,91,5,57,5
5,31,6,6,74,52,93,5,57,5
6,0,6,6,52,52,5,5,57,5
6,1,6,6,52,52,5,5,57,5
6,2,6,6,52,52,5,5,57,5
6,3,6,6,52,52,5,5,57,5
6,4,6,6,52,52,5,5,57,5
6,5,6,6,52,52,5,5,57,5
6,6,6,6,52,52,5,5,57,5
6,7,6,6,52,52,5,5,57,5
6,8,6,6,52,52,5,5,57,5
6,9,6,6,52,52,5,5,57,5
6,10,6,6,52,52,5,5,57,5
6,11,6,6,52,52,5,5,57,5
6,12,6,6,52,52,5,5,57,5
6,13,6,6,52,52,5,5,57,5
6,14,6,6,52,52,5,5,57,5
6,15,6,6,52,52,5,5,57,5
6,16,6,6,52,52,5,5,57,5
6,17,6,6,52,52,5,5,57,5
6,18,6,6,52,52,5,5,57,5
6,19,6,6,52,52,5,5,57,5
6,20,6,6,52,52,10,5,57,5
6,21,6,6,52,52,12,5,57,5
6,22,6,6,53,52,13,5,57,5
6,23,6,6,53,52,18,5,57,5
6,24,6,6,53,52,20,5,57,5
6,25,6,6,54,52,23,5,57,5
6,26,6,6,55,52,28,5,57,5
6,27,6,6,55,52,36,5,57,5
6,28,6,6,59,52,46,5,57,5
6,29,6,6,63,52,62,5,57,5
6,30,6,6,73,52,91,5,57,5
6,31,6,6,74,52,93,5,57,5
7,0,6,6,52,52,5,5,57,5
7,1,6,6,52,52,5,5,57,5
7,2,6,6,52,52,5,5,57,5
7,3,6,6,52,52,5,5,57,5
7,4,6,6,52,52,5,5,57,5
7,5,6,6,52,52,5,5,57,5
7,6,6,6,52,52,5,5,57,5
7,7,6,6,52,52,5,5,57,5
7,8,6,6,52,52,5,5,57,5
7,9,6,6,52,52,5,5,57,5
7,10,6,6,52,52,5,5,57,5
7,11,6,6,52,52,5,5,57,5
7,12,6,6,52,52,5,5,57,5
7,13,6,6,52,52,5,5,57,5
7,14,6,6,52,52,5,5,57,5
7,15,6,6,52,52,5,5,57,5
7,16,6,6,52,52,5,5,57,5
7,17,6,6,52,52,5,5,57,5
7,18,6,6,52,52,5,5,57,5
7,19,6,6,52,52,5,5,57,5
7,20,6,6,52,52,10,5,57,5
7,21,6,6,52,52,12,5,57,5
7,22,6,6,53,52,13,5,57,5
7,23,6,6,53,52,18,5,57,5
7,24,6,6,53,52,20,5,57,5
7,25,6,6,54,52,23,5,57,5
7,26,6,6,55,52,28,5,57,5
7,27,6,6,55,52,36,5,57,5
7,28,6,6,59,52,46,5,57,5
7,29,6,6,63,52,62,5,57,5
7,30,6,6,73,52,91,5,57,5
7,31,6,6,74,52,93,5,57,5
8,0,6,6,52,52,5,5,57,5
8,1,0,0,96,96,20,14,19,14
8,2,6,6,52,52,5,5,57,5
8,3,0,0,95,95,19,14,19,14
8,4,6,6,52,52,5,5,57,5
8,5,6,6,52,52,5,5,57,5
8,6,0,0,96,96,19,14,19,14
8,7,6,6,52,52,5,5,57,5
8,8,2,2,73,73,10,8,32,8
8,9,0,0,96,96,20,14,19,14
8,10,6,6,52,52,5,5,57,5
8,11,6,6,52,52,5,5,57,5
8,12,6,6,52,52,5,5,57,5
8,13,0,0,96,96,20,14,19,14
8,14,6,6,52,52,5,5,57,5
8,15,0,0,96,96,20,14,19,14
8,16,6,6,52,52,5,5,57,5
8,17,6,6,52,52,5,5,57,5
8,18,6,6,52,52,5,5,57,5
8,19,6,6,52,52,5,5,57,5
8,20,6,6,52,52,10,5,57,5
8,21,6,6,52,52,12,5,57,5
8,22,6,6,53,52,13,5,57,5
8,23,6,6,53,52,18,5,57,5
8,24,6,6,53,52,20,5,57,5
8,25,6,6,54,52,24,5,57,5
8,26,6,6,55,52,29,5,57,5
8,27,6,6,55,52,37,5,57,5
8,28,6,6,59,52,48,5,57,5
8,29,6,6,63,52,66,5,57,5
8,30,0,0,108,96,103,14,19,14
8,31,6,6,75,52,98,5,57,5
9,0,6,6,52,52,5,5,57,5
9,1,6,6,52,52,5,5,57,5
9,2,6,6,52,52,5,5,57,5
9,3,6,6,52,52,5,5,57,5
9,4,6,6,52,52,5,5,57,5
9,5,3,2,71,71,10,8,32,8
9,6,6,6,52,52,5,5,57,5
9,7,6,6,52,52,5,5,57,5
9,8,6,6,52,52,5,5,57,5
9,9,6,6,52,52,5,5,57,5
9,10,6,6,52,52,5,5,57,5
9,11,6,6,52,52,5,5,57,5
9,12,6,6,52,52,5,5,57,5
9,13,6,6,52,52,5,5,57,5
9,14,6,6,52,52,5,5,57,5
9,15,6,6,52,52,5,5,57,5
9,16,6,6,52,52,5,5,57,5
9,17,6,6,52,52,5,5,57,5
9,18,6,6,52,52,5,5,57,5
9,19,6,6,52,52,5,5,57,5
9,20,6,6,52,52,12,5,57,5
9,21,0,0,97,97,25,14,19,14
9,22,6,6,53,52,14,5,57,5
9,23,6,6,54,52,15,5,57,5
9,24,6,6,54,52,17,5,57,5
9,25,0,0,96,96,31,14,19,14
9,26,6,6,56,52,24,5,57,5
9,27,6,6,58,52,30,5,57,5
9,28,6,6,62,52,51,5,57,5
9,29,6,6,68,52,70,5,57,12
9,30,6,6,78,52,104,5,57,14
9,31,6,6,78,52,105,5,57,15
